algorithm_id,entity_id,algo_name,algo_family,crypto_type
1,1,ECC 256 (Signature),ECC,signature
2,2,ECC 256 (KEM/ENC),ECC,KEM/ENC
3,3,ECC 384 (Signature),ECC,signature
4,4,ECC 384 (KEM/ENC),ECC,KEM/ENC
5,5,ECC 521 (Signature),ECC,signature
6,6,ECC 521 (KEM/ENC),ECC,KEM/ENC
7,7,DHE2048 (Signature),FFDHE,signature
8,8,DHE2048 (KEM/ENC),FFDHE,KEM/ENC
9,9,DHE3072 (Signature),FFDHE,signature
10,10,DHE3072 (KEM/ENC),FFDHE,KEM/ENC
11,11,RSA 1024 (Signature),RSA,signature
12,12,RSA 1024 (KEM/ENC),RSA,KEM/ENC
13,13,RSA 2048 (Signature),RSA,signature
14,14,RSA 2048 (KEM/ENC),RSA,KEM/ENC
15,15,RSA 3072 (Signature),RSA,signature
16,16,RSA 3072 (KEM/ENC),RSA,KEM/ENC
17,17,AES 128,AES,symmetric
18,18,AES 192,AES,symmetric
19,19,AES 256,AES,symmetric
20,20,SHA 256,SHA2,hash
21,21,SHA 384,SHA2,hash
22,22,SHA 512,SHA2,hash
23,23,SHA3 256,SHA3,hash
24,24,SHA3 384,SHA3,hash
25,25,SHA3 512,SHA3,hash
26,26,ML-KEM 512,ML-KEM,KEM/ENC
27,27,ML-KEM 768,ML-KEM,KEM/ENC
28,28,ML-KEM 1024,ML-KEM,KEM/ENC
29,29,ML-DSA 44,ML-DSA,signature
30,30,ML-DSA 65,ML-DSA,signature
31,31,ML-DSA 87,ML-DSA,signature
32,32,Falcon,Falcon,signature
33,33,McEliece,McEliece,KEM/ENC
34,34,BIKE,BIKE,KEM/ENC
35,35,HQC,HQC,KEM/ENC
36,36,SLH-DSA-SHA2-128s,SLH-DSA,signature
37,37,SLH-DSA-SHAKE-128s,SLH-DSA,signature
38,38,SLH-DSA-SHA2-128f,SLH-DSA,signature
39,39,SLH-DSA-SHAKE-128f,SLH-DSA,signature
40,40,SLH-DSA-SHA2-192s,SLH-DSA,signature
41,41,SLH-DSA-SHAKE-192s,SLH-DSA,signature
42,42,SLH-DSA-SHA2-192f,SLH-DSA,signature
43,43,SLH-DSA-SHAKE-192f,SLH-DSA,signature
44,44,SLH-DSA-SHA2-256s,SLH-DSA,signature
45,45,SLH-DSA-SHAKE-256s,SLH-DSA,signature
46,46,SLH-DSA-SHA2-256f,SLH-DSA,signature
47,47,SLH-DSA-SHAKE-256f,SLH-DSA,signature
48,48,SIKE,SIKE,KEM/ENC